Solver Name,Execution Time,Memory
Minisat,1214,15026
Sat4j,1095,15026
MiniSatProver,1043,15031
CryptoMiniSatJNI,1175,15026
Glucose,1067,15026
Glucose41JNI,1192,15026
KK,1215,15026
Lingeling,1153,15026
