Solver Name,Execution Time,Memory
Minisat,1003,12294
Sat4j,992,12294
MiniSatProver,957,12297
CryptoMiniSatJNI,956,12294
Glucose,1024,12294
Glucose41JNI,1061,12294
KK,977,12294
Lingeling,933,12294
