Solver Name,Execution Time,Memory
Minisat,1825,21872
Sat4j,1875,21872
MiniSatProver,1720,21873
CryptoMiniSatJNI,1794,21872
Glucose,1834,21872
Glucose41JNI,1784,21872
KK,1871,21877
Lingeling,1829,21872
