Solver Name,Execution Time,Memory
Minisat,1765,21872
Sat4j,1876,21872
MiniSatProver,1623,21873
CryptoMiniSatJNI,1898,21872
Glucose,1798,21872
Glucose41JNI,1872,21872
KK,1733,21877
Lingeling,1737,21872
