Solver Name,Execution Time,Memory
Minisat,964,12294
Sat4j,1058,12294
MiniSatProver,1027,12297
CryptoMiniSatJNI,1108,12294
Glucose,1036,12294
Glucose41JNI,993,12294
KK,1047,12294
Lingeling,981,12294
