Solver Name,Execution Time,Memory
Minisat,766,9569
Sat4j,743,9569
MiniSatProver,721,9569
CryptoMiniSatJNI,747,9569
Glucose,752,9569
Glucose41JNI,782,9569
KK,791,9568
Lingeling,645,9569
