Solver Name,Execution Time,Memory
Minisat,1283,15026
Sat4j,1237,15026
MiniSatProver,1114,15031
CryptoMiniSatJNI,1249,15026
Glucose,1188,15026
Glucose41JNI,1238,15026
KK,1138,15026
Lingeling,1272,15026
