Solver Name,Execution Time,Memory
Minisat,1729,21872
Sat4j,1825,21872
MiniSatProver,1556,21873
CryptoMiniSatJNI,1757,21872
Glucose,1786,21872
Glucose41JNI,1774,21872
KK,1738,21877
Lingeling,1738,21872
