Solver Name,Execution Time,Memory
Minisat,742, 9587
Minisat,710, 9587
Minisat,780, 9587
Minisat,701, 9587
Minisat,811, 9587
Sat4j,712, 9587
Sat4j,610, 9587
Sat4j,761, 9587
Sat4j,883, 9587
Sat4j,671, 9587
MiniSatProver,700, 9590
MiniSatProver,641, 9590
MiniSatProver,672, 9590
MiniSatProver,782, 9590
MiniSatProver,834, 9590
CryptoMiniSatJNI,650, 9587
CryptoMiniSatJNI,690, 9587
CryptoMiniSatJNI,742, 9587
CryptoMiniSatJNI,723, 9587
CryptoMiniSatJNI,682, 9587
Glucose,641, 9587
Glucose,621, 9583
Glucose,781, 9587
Glucose,710, 9587
Glucose,752, 9587
Glucose41JNI,631, 9587
Glucose41JNI,711, 9587
Glucose41JNI,752, 9587
Glucose41JNI,672, 9587
Glucose41JNI,742, 9587
KK,751, 9569
KK,811, 9569
KK,870, 9569
KK,701, 9569
KK,722, 9569
Lingeling,721, 9587
Lingeling,782, 9587
Lingeling,843, 9587
Lingeling,724, 9587
Lingeling,753, 9587
