Solver Name,Execution Time,Memory
Minisat,772, 9587
Minisat,750, 9587
Minisat,851, 9587
Minisat,541, 9587
Minisat,753, 9587
Sat4j,791, 9587
Sat4j,693, 9587
Sat4j,601, 9587
Sat4j,743, 9587
Sat4j,711, 9587
MiniSatProver,862, 9590
MiniSatProver,711, 9590
MiniSatProver,660, 9590
MiniSatProver,824, 9590
MiniSatProver,982, 9591
CryptoMiniSatJNI,731, 9587
CryptoMiniSatJNI,712, 9587
CryptoMiniSatJNI,711, 9587
CryptoMiniSatJNI,953, 9587
CryptoMiniSatJNI,873, 9587
Glucose,912, 9587
Glucose,742, 9587
Glucose,681, 9587
Glucose,750, 9587
Glucose,762, 9587
Glucose41JNI,701, 9587
Glucose41JNI,654, 9587
Glucose41JNI,722, 9587
Glucose41JNI,711, 9587
Glucose41JNI,661, 9587
KK,811, 9569
KK,812, 9569
KK,812, 9569
KK,881, 9569
KK,680, 9569
Lingeling,792, 9587
Lingeling,741, 9587
Lingeling,802, 9587
Lingeling,713, 9587
Lingeling,822, 9587
