Solver Name,Execution Time,Memory
Minisat,672, 9587
Minisat,671, 9587
Minisat,650, 9587
Minisat,720, 9587
Minisat,820, 9587
Sat4j,760, 9587
Sat4j,731, 9587
Sat4j,871, 9587
Sat4j,780, 9587
Sat4j,732, 9586
MiniSatProver,702, 9590
MiniSatProver,711, 9591
MiniSatProver,801, 9590
MiniSatProver,793, 9590
MiniSatProver,721, 9590
CryptoMiniSatJNI,671, 9587
CryptoMiniSatJNI,722, 9587
CryptoMiniSatJNI,714, 9587
CryptoMiniSatJNI,670, 9587
CryptoMiniSatJNI,731, 9587
Glucose,772, 9587
Glucose,741, 9587
Glucose,782, 9587
Glucose,681, 9587
Glucose,800, 9587
Glucose41JNI,662, 9587
Glucose41JNI,752, 9587
Glucose41JNI,761, 9587
Glucose41JNI,711, 9587
Glucose41JNI,755, 9587
KK,680, 9569
KK,862, 9569
KK,711, 9569
KK,731, 9569
KK,782, 9569
Lingeling,813, 9587
Lingeling,731, 9587
Lingeling,720, 9587
Lingeling,772, 9587
Lingeling,731, 9587
