Solver Name,Execution Time,Memory
Minisat,801, 9569
Minisat,742, 9569
Minisat,743, 9569
Minisat,752, 9569
Minisat,761, 9569
Sat4j,713, 9569
Sat4j,701, 9569
Sat4j,943, 9569
Sat4j,700, 9569
Sat4j,783, 9569
MiniSatProver,800, 9569
MiniSatProver,712, 9569
MiniSatProver,710, 9569
MiniSatProver,730, 9569
MiniSatProver,984, 9569
CryptoMiniSatJNI,712, 9569
CryptoMiniSatJNI,742, 9569
CryptoMiniSatJNI,861, 9569
CryptoMiniSatJNI,750, 9569
CryptoMiniSatJNI,782, 9569
Glucose,643, 9569
Glucose,730, 9569
Glucose,864, 9569
Glucose,782, 9569
Glucose,640, 9569
Glucose41JNI,711, 9569
Glucose41JNI,662, 9569
Glucose41JNI,640, 9569
Glucose41JNI,691, 9569
Glucose41JNI,833, 9569
KK,691, 9569
KK,851, 9569
KK,802, 9569
KK,650, 9569
KK,822, 9569
Lingeling,712, 9569
Lingeling,624, 9569
Lingeling,752, 9569
Lingeling,691, 9569
Lingeling,760, 9569
