Solver Name,Execution Time,Memory
Minisat,620, 9569
Minisat,720, 9569
Minisat,911, 9569
Minisat,682, 9569
Minisat,773, 9569
Sat4j,683, 9569
Sat4j,781, 9569
Sat4j,902, 9569
Sat4j,881, 9569
Sat4j,711, 9569
MiniSatProver,740, 9569
MiniSatProver,683, 9569
MiniSatProver,641, 9569
MiniSatProver,731, 9569
MiniSatProver,714, 9569
CryptoMiniSatJNI,700, 9569
CryptoMiniSatJNI,810, 9569
CryptoMiniSatJNI,703, 9569
CryptoMiniSatJNI,751, 9569
CryptoMiniSatJNI,931, 9569
Glucose,762, 9569
Glucose,784, 9569
Glucose,761, 9569
Glucose,722, 9569
Glucose,843, 9569
Glucose41JNI,750, 9569
Glucose41JNI,631, 9569
Glucose41JNI,832, 9569
Glucose41JNI,773, 9569
Glucose41JNI,732, 9569
KK,701, 9569
KK,720, 9569
KK,871, 9569
KK,710, 9564
KK,873, 9569
Lingeling,783, 9569
Lingeling,792, 9569
Lingeling,650, 9569
Lingeling,611, 9569
Lingeling,741, 9569
