Solver Name,Execution Time,Memory
Minisat,621, 9569
Minisat,771, 9569
Minisat,811, 9569
Minisat,622, 9569
Minisat,681, 9569
Sat4j,683, 9569
Sat4j,752, 9569
Sat4j,832, 9569
Sat4j,763, 9569
Sat4j,752, 9569
MiniSatProver,702, 9569
MiniSatProver,620, 9569
MiniSatProver,680, 9569
MiniSatProver,672, 9569
MiniSatProver,762, 9569
CryptoMiniSatJNI,711, 9569
CryptoMiniSatJNI,671, 9569
CryptoMiniSatJNI,761, 9569
CryptoMiniSatJNI,781, 9569
CryptoMiniSatJNI,701, 9566
Glucose,832, 9569
Glucose,752, 9569
Glucose,701, 9569
Glucose,680, 9569
Glucose,823, 9569
Glucose41JNI,801, 9569
Glucose41JNI,930, 9569
Glucose41JNI,680, 9569
Glucose41JNI,721, 9569
Glucose41JNI,744, 9569
KK,811, 9569
KK,842, 9569
KK,741, 9569
KK,771, 9569
KK,851, 9569
Lingeling,650, 9569
Lingeling,730, 9569
Lingeling,731, 9569
Lingeling,761, 9569
Lingeling,731, 9569
