Solver Name,Execution Time,Memory
Minisat,711, 9587
Minisat,711, 9587
Minisat,773, 9587
Minisat,821, 9587
Minisat,753, 9587
Sat4j,782, 9587
Sat4j,721, 9587
Sat4j,852, 9587
Sat4j,892, 9587
Sat4j,834, 9587
MiniSatProver,671, 9591
MiniSatProver,761, 9591
MiniSatProver,700, 9590
MiniSatProver,670, 9591
MiniSatProver,702, 9590
CryptoMiniSatJNI,722, 9587
CryptoMiniSatJNI,691, 9587
CryptoMiniSatJNI,1384, 9587
CryptoMiniSatJNI,683, 9587
CryptoMiniSatJNI,742, 9587
Glucose,681, 9587
Glucose,670, 9587
Glucose,701, 9587
Glucose,793, 9587
Glucose,714, 9587
Glucose41JNI,811, 9586
Glucose41JNI,671, 9587
Glucose41JNI,740, 9587
Glucose41JNI,721, 9587
Glucose41JNI,770, 9587
KK,791, 9569
KK,791, 9569
KK,772, 9569
KK,874, 9569
KK,703, 9569
Lingeling,711, 9587
Lingeling,751, 9587
Lingeling,780, 9587
Lingeling,822, 9587
Lingeling,822, 9587
