Solver Name,Execution Time,Memory
Minisat,692, 9569
Minisat,672, 9569
Minisat,681, 9569
Minisat,853, 9569
Minisat,831, 9569
Sat4j,681, 9569
Sat4j,721, 9569
Sat4j,851, 9569
Sat4j,802, 9569
Sat4j,862, 9569
MiniSatProver,780, 9569
MiniSatProver,782, 9569
MiniSatProver,670, 9569
MiniSatProver,833, 9569
MiniSatProver,1061, 9569
CryptoMiniSatJNI,780, 9569
CryptoMiniSatJNI,780, 9569
CryptoMiniSatJNI,763, 9569
CryptoMiniSatJNI,812, 9569
CryptoMiniSatJNI,762, 9569
Glucose,843, 9569
Glucose,791, 9569
Glucose,711, 9569
Glucose,800, 9569
Glucose,891, 9569
Glucose41JNI,841, 9569
Glucose41JNI,732, 9569
Glucose41JNI,753, 9569
Glucose41JNI,733, 9569
Glucose41JNI,841, 9569
KK,802, 9569
KK,802, 9569
KK,754, 9569
KK,903, 9569
KK,801, 9569
Lingeling,640, 9569
Lingeling,632, 9569
Lingeling,693, 9569
Lingeling,630, 9569
Lingeling,811, 9569
